kills,loot,squad,zone,win%
20,3,4,10,100
18,3,4,9,94
17,3,4,8,90
16,3,4,7,86
15,3,4,6,82
14,3,4,5,78
13,3,4,4,74
12,3,4,3,70
11,3,4,2,66
10,3,4,1,62
18,2,4,10,86
17,2,4,9,82
16,2,4,8,79
15,2,4,7,75
14,2,4,6,72
13,2,4,5,68
12,2,4,4,65
11,2,4,3,61
10,2,4,2,58
9,2,4,1,54
16,3,3,10,88
15,3,3,9,84
14,3,3,8,80
13,3,3,7,76
12,3,3,6,72
11,3,3,5,68
10,3,3,4,64
9,3,3,3,60
8,3,3,2,56
7,3,3,1,52
15,2,3,10,79
14,2,3,9,76
13,2,3,8,72
12,2,3,7,68
11,2,3,6,64
10,2,3,5,60
9,2,3,4,56
8,2,3,3,52
7,2,3,2,48
6,2,3,1,44
12,1,2,10,65
11,1,2,9,62
10,1,2,8,58
9,1,2,7,55
8,1,2,6,51
7,1,2,5,48
6,1,2,4,44
5,1,2,3,41
4,1,2,2,37
3,1,2,1,34
20,2,2,10,82
19,2,2,9,79
18,2,2,8,76
17,2,2,7,73
16,2,2,6,70
15,2,2,5,67
14,2,2,4,64
13,2,2,3,61
12,2,2,2,58
11,2,2,1,55
9,3,1,10,67
8,3,1,9,64
7,3,1,8,61
6,3,1,7,58
5,3,1,6,55
4,3,1,5,52
3,3,1,4,49
2,3,1,3,46
1,3,1,2,43
0,3,1,1,40
20,1,4,10,90
18,1,4,8,82
16,1,4,6,74
14,1,4,4,66
12,1,4,2,58
10,1,4,1,53
8,1,4,3,49
6,1,4,5,46
4,1,4,7,43
2,1,4,9,40
20,3,1,10,85
18,3,1,8,78
16,3,1,6,72
14,3,1,4,66
12,3,1,2,60
10,3,1,1,55
8,3,1,3,50
6,3,1,5,46
4,3,1,7,42
2,3,1,9,38
5,1,1,10,42
4,1,1,8,38
3,1,1,6,35
2,1,1,4,31
1,1,1,2,28
0,1,1,1,24
6,2,1,10,49
7,2,2,10,56
8,2,3,10,63
9,2,4,10,70
